id,label,email,type
405431732,საქართველოს ბინზეს-ქოუჩინგის ასოციაცია,georgiancoaching@gmail.com,org
405431705,თუმანიშვილი 100,nmakhatadze18@gmail.com,org
412757057,იდეათა სივრცე,ideasspace2021@gmail.com,org
425366882,ჯვართამაღლების ფონდი,sashazarandia@gmail.com,org
406319817,საქართველოს რესპუბლიკის ოფიცერთა კორპუსი,oficertakorpusi2020@gmail.com,org
402176943,თბილისი - წიგნის მსოფლიო დედაქალაქი,Wbctbilisi@gmail.com,org
416353751,კანტის აკადემია,m.gvaramadze@gmail.com,org
406315223,მიასინ,miasinfund@gmail.com,org
405413805,დემოკრატიის ვირტუალური აკადემია,info@virtualdemacademy.com,org
402171136,საერთაშორისო საქველმოქმედო ფონდი ედელვაისი,icfedelweiss@gmail.com,org
405412646,სოციალური ფონდი,socialfund.ngo@gmail.com,org
405412502,აფხაზეთის ხის დამამუშავებელთა და ხის ავეჯის მწარმოებელთა ასოციაცია,akakigurgenidze@gmail.com,org
412755040,ახალგაზრთა ხელოვანთა სახლი,kuprashvili2020@list.ru,org
405413128,დევნილთა და ვეტერანთა გაერთიანება სოხუმის გარნიზონი,itsme_gio@yahoo.com,org
405413413,პროფესიული ორიენტაციის და განვითარების საერთაშორისო ცენტრი,tamarkacharava.org@gmail.com,org
400294757,ფუნდამენტური უფლებებისა და განვითარების ინსტიტუტი,office.ifrd@gmail.com,org
404601784,"საქართველოს რესპუბლიკის ""პირველ ეროვნულ გვარდიელთა კორპუსი""",mirzagelovani8@gmail.com,org
402170949,ართ ჰოლი პროფი,arthallprofi@gmail.com,org
439870276,მონადირეთა ფედერაცია 2020,monadire2020@gmail.com,org
404601775,შენმოქმედი,info@shenmokmedi.ge,org
400294944,თანაბარი შესაძლებლობების მომავალი,info@momavali.org,org
405413841,კვლევების და მეცნიერების პოპულარიზაციის ცენტრი,zgabisonia@gmail.com,org
405420076,საქართველოს ქორეოგრაფთა კავშირის ქ. თბილისის საქალაქო ორგანიზაცია,qortbilisi2020@gmail.com,org
406315802,სპელეო კლუბი ქეივინგ ჯორჯია,int3gral@gmail.com,org
404603719,თინათინ წერეთლის სახელობის საქართველოს სამართლის მეცნიერებათა მრავალპროფილიანი საერთაშორისო აკადემია,apolon.gadelia@rambler.ru,org
404603728,საქართველოს ინტერნეტის ურთიერთგაცვლის ასოციაცია,hello@gix.ge,org
416354135,საქართველოს რეკონსტრუქციული და ესთეტიკური გინეკოლოგიის ასოციაცია,siradzenata@gmail.com,org
405420325,აივ დადებითი ქალები - ჩვენ ვარსებობთ,tamari.gakhokidze@mail.ru,org
404603808,საქველმოქმედო ფონდი ბუ-ნება,buachidze.giga01@gmail.com gisondi.mike@gmail.com,org
405420806,საერთაშორისო მწვანე მოძრაობა მსოფლიო ჩემი ოჯახია,greenfamilyge@gmail.com,org
405420646,ტრადიციული კულტურის კვლევითი ცენტრი,kvleviticentri@gmail.com,org
